task,modality,curve_type,x,y,threshold,fold,positive_class,notes
CD vs UC,metabolome,ROC,0.4198895027624309,0.7843137254901961,0.148962911682588,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.4198895027624309,0.7941176470588235,0.1488971940079849,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.425414364640884,0.7941176470588235,0.1384650334503882,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.430939226519337,0.7941176470588235,0.1260336686391708,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.430939226519337,0.803921568627451,0.1169676500141061,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.430939226519337,0.8137254901960784,0.1128277866317969,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.43646408839779005,0.8137254901960784,0.1077807002592419,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.4419889502762431,0.8137254901960784,0.1042318927764709,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.4419889502762431,0.8235294117647058,0.1036019772816416,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.44751381215469616,0.8235294117647058,0.1027122250938375,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.4530386740331492,0.8235294117647058,0.102711924042484,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.4530386740331492,0.8333333333333334,0.1024732387897151,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.4585635359116022,0.8333333333333334,0.1006436837020338,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.4585635359116022,0.8431372549019608,0.099350699052425,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.46408839779005523,0.8431372549019608,0.0985982936758671,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.46408839779005523,0.8529411764705882,0.0964485235285977,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.4696132596685083,0.8529411764705882,0.0940932733463145,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.4696132596685083,0.8627450980392157,0.0900365322446582,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.47513812154696133,0.8627450980392157,0.0897594461214157,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.48066298342541436,0.8627450980392157,0.0889505753620048,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.4861878453038674,0.8627450980392157,0.0877600781178818,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.4861878453038674,0.8725490196078431,0.0876040368583584,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.49171270718232046,0.8725490196078431,0.0830035750452609,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.49171270718232046,0.8823529411764706,0.0823656259755653,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.4972375690607735,0.8823529411764706,0.0794213514737834,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.5027624309392266,0.8823529411764706,0.0784584277993708,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.5082872928176796,0.8823529411764706,0.0780418096615257,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.5082872928176796,0.8921568627450981,0.0761053533042972,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.5138121546961326,0.8921568627450981,0.0736145545769799,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.5193370165745856,0.8921568627450981,0.0727706209000752,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.5248618784530387,0.8921568627450981,0.0726724965720962,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.5248618784530387,0.9019607843137255,0.0685013936278075,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.5303867403314917,0.9019607843137255,0.0670254875059774,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.5359116022099447,0.9019607843137255,0.0655806140267399,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.5414364640883977,0.9019607843137255,0.0653018061970817,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.5469613259668509,0.9019607843137255,0.0640352232830436,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.5524861878453039,0.9019607843137255,0.0614267092781394,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.5580110497237569,0.9019607843137255,0.0603355379376096,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.56353591160221,0.9019607843137255,0.05945831899307,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.569060773480663,0.9019607843137255,0.0581987410426279,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.574585635359116,0.9019607843137255,0.0567790151766345,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.580110497237569,0.9019607843137255,0.0565470880255052,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.585635359116022,0.9019607843137255,0.0564733653159453,pooled_oof,CD,x=FPR y=TPR pooled OOF
