panel,task,modality,x,y
D,UC vs nonIBD,metabolome,0.2761904761904762,0.7843137254901961
D,UC vs nonIBD,metabolome,0.34285714285714286,0.7843137254901961
D,UC vs nonIBD,metabolome,0.34285714285714286,0.8137254901960784
D,UC vs nonIBD,metabolome,0.3619047619047619,0.8137254901960784
D,UC vs nonIBD,metabolome,0.3619047619047619,0.8235294117647058
D,UC vs nonIBD,metabolome,0.42857142857142855,0.8235294117647058
D,UC vs nonIBD,metabolome,0.42857142857142855,0.8431372549019608
D,UC vs nonIBD,metabolome,0.4380952380952381,0.8431372549019608
D,UC vs nonIBD,metabolome,0.4380952380952381,0.8529411764705882
D,UC vs nonIBD,metabolome,0.47619047619047616,0.8529411764705882
D,UC vs nonIBD,metabolome,0.47619047619047616,0.8627450980392157
D,UC vs nonIBD,metabolome,0.4857142857142857,0.8627450980392157
D,UC vs nonIBD,metabolome,0.4857142857142857,0.8725490196078431
D,UC vs nonIBD,metabolome,0.5047619047619047,0.8725490196078431
D,UC vs nonIBD,metabolome,0.5047619047619047,0.8823529411764706
D,UC vs nonIBD,metabolome,0.5904761904761905,0.8823529411764706
D,UC vs nonIBD,metabolome,0.5904761904761905,0.9019607843137255
D,UC vs nonIBD,metabolome,0.6095238095238096,0.9019607843137255
D,UC vs nonIBD,metabolome,0.6095238095238096,0.9117647058823529
D,UC vs nonIBD,metabolome,0.6571428571428571,0.9117647058823529
D,UC vs nonIBD,metabolome,0.6571428571428571,0.9215686274509803
D,UC vs nonIBD,metabolome,0.6857142857142857,0.9215686274509803
D,UC vs nonIBD,metabolome,0.6857142857142857,0.9313725490196079
D,UC vs nonIBD,metabolome,0.6952380952380952,0.9313725490196079
D,UC vs nonIBD,metabolome,0.6952380952380952,0.9411764705882353
D,UC vs nonIBD,metabolome,0.7714285714285715,0.9411764705882353
D,UC vs nonIBD,metabolome,0.7714285714285715,0.9607843137254902
D,UC vs nonIBD,metabolome,0.7904761904761904,0.9607843137254902
D,UC vs nonIBD,metabolome,0.7904761904761904,0.9705882352941176
D,UC vs nonIBD,metabolome,0.8,0.9705882352941176
D,UC vs nonIBD,metabolome,0.8,0.9803921568627451
D,UC vs nonIBD,metabolome,0.8857142857142857,0.9803921568627451
D,UC vs nonIBD,metabolome,0.8857142857142857,0.9901960784313726
D,UC vs nonIBD,metabolome,0.9047619047619048,0.9901960784313726
D,UC vs nonIBD,metabolome,0.9047619047619048,1.0
D,UC vs nonIBD,metabolome,1.0,1.0
E,UC vs nonIBD,metabolome,1.0,0.4927536231884058
E,UC vs nonIBD,metabolome,1.0,0.49514563106796117
E,UC vs nonIBD,metabolome,1.0,0.4975609756097561
E,UC vs nonIBD,metabolome,1.0,0.5
E,UC vs nonIBD,metabolome,1.0,0.5024630541871922
E,UC vs nonIBD,metabolome,1.0,0.504950495049505
E,UC vs nonIBD,metabolome,1.0,0.5074626865671642
E,UC vs nonIBD,metabolome,1.0,0.51
E,UC vs nonIBD,metabolome,1.0,0.5125628140703518
E,UC vs nonIBD,metabolome,1.0,0.5151515151515151
E,UC vs nonIBD,metabolome,1.0,0.5177664974619289
E,UC vs nonIBD,metabolome,0.9901960784313726,0.5153061224489796
E,UC vs nonIBD,metabolome,0.9901960784313726,0.517948717948718
E,UC vs nonIBD,metabolome,0.9901960784313726,0.520618556701031
E,UC vs nonIBD,metabolome,0.9803921568627451,0.5181347150259067
E,UC vs nonIBD,metabolome,0.9803921568627451,0.5208333333333334
E,UC vs nonIBD,metabolome,0.9803921568627451,0.5235602094240838
E,UC vs nonIBD,metabolome,0.9803921568627451,0.5263157894736842
E,UC vs nonIBD,metabolome,0.9803921568627451,0.5291005291005291
E,UC vs nonIBD,metabolome,0.9803921568627451,0.5319148936170213
E,UC vs nonIBD,metabolome,0.9803921568627451,0.5347593582887701
E,UC vs nonIBD,metabolome,0.9803921568627451,0.5376344086021505
E,UC vs nonIBD,metabolome,0.9803921568627451,0.5405405405405406
E,UC vs nonIBD,metabolome,0.9803921568627451,0.5434782608695652
E,UC vs nonIBD,metabolome,0.9705882352941176,0.5409836065573771
E,UC vs nonIBD,metabolome,0.9705882352941176,0.5439560439560439
E,UC vs nonIBD,metabolome,0.9607843137254902,0.5414364640883977
E,UC vs nonIBD,metabolome,0.9607843137254902,0.5444444444444444
E,UC vs nonIBD,metabolome,0.9607843137254902,0.547486033519553
E,UC vs nonIBD,metabolome,0.9509803921568627,0.5449438202247191
E,UC vs nonIBD,metabolome,0.9411764705882353,0.5423728813559322
E,UC vs nonIBD,metabolome,0.9411764705882353,0.5454545454545454
